,date,benchmark,value
0,2007-08-07,13504.3,1.0
1,2007-08-08,13657.86,1.0010148416207505
2,2007-08-09,13270.68,0.9976842152576384
3,2007-08-10,13239.54,0.995528293088619
4,2007-08-13,13236.53,0.9958269174484283
5,2007-08-14,13028.92,0.9921255927086617
6,2007-08-15,12861.47,0.9842153452381766
7,2007-08-16,12845.78,0.9765991702828896
8,2007-08-17,13079.08,0.9881764542467979
9,2007-08-20,13121.35,0.9918345643909258
10,2007-08-21,13090.86,0.9964975718466658
11,2007-08-22,13236.13,1.0084227153843204
12,2007-08-23,13235.88,1.003309990405725
13,2007-08-24,13378.87,1.0111283851157562
14,2007-08-27,13322.13,1.0058654583123094
15,2007-08-28,13041.85,0.9843344621920327
16,2007-08-29,13289.29,1.0076650888014957
17,2007-08-30,13238.73,1.0080830862946486
18,2007-08-31,13357.74,1.0275616907536667
19,2007-09-04,13448.86,1.047166941305563
20,2007-09-05,13305.47,1.0440673802999285
21,2007-09-06,13363.35,1.0502997581098952
22,2007-09-07,13113.38,1.0310291611241675
23,2007-09-10,13127.85,1.028315421240265
24,2007-09-11,13308.39,1.0439065819579745
25,2007-09-12,13291.65,1.0441898787205488
26,2007-09-13,13424.88,1.0488902489554601
27,2007-09-14,13442.52,1.0478478536634637
28,2007-09-17,13403.42,1.040790086904873
29,2007-09-18,13739.39,1.0757032172131908
30,2007-09-19,13815.56,1.0884220636312218
31,2007-09-20,13766.7,1.0923250773177353
32,2007-09-21,13820.19,1.107677018162988
33,2007-09-24,13759.06,1.121806930126769
34,2007-09-25,13778.65,1.1357680551610962
35,2007-09-26,13878.15,1.1436037885343786
36,2007-09-27,13912.94,1.1490342729358345
37,2007-09-28,13895.63,1.1525730415861934
38,2007-10-01,14087.55,1.178420809777433
39,2007-10-02,14047.31,1.1960278494736862
40,2007-10-03,13968.05,1.181349034850928
41,2007-10-04,13974.31,1.178196210595466
42,2007-10-05,14066.01,1.1996497184132635
43,2007-10-08,14043.73,1.1992486644946294
44,2007-10-09,14164.53,1.216220843480333
45,2007-10-10,14078.69,1.2287867876505185
46,2007-10-11,14015.12,1.2090139672121378
47,2007-10-12,14093.08,1.2276177283039764
48,2007-10-15,13984.8,1.2128123372034916
49,2007-10-16,13912.94,1.2072482982987722
50,2007-10-17,13892.54,1.2140760410010878
51,2007-10-18,13888.96,1.2205158689177302
52,2007-10-19,13522.02,1.1861199089503696
53,2007-10-22,13566.97,1.2047267891026305
54,2007-10-23,13676.23,1.2412984904866085
55,2007-10-24,13675.25,1.2275637484990634
56,2007-10-25,13671.92,1.2240706128387304
57,2007-10-26,13806.7,1.2487789237506304
58,2007-10-29,13870.26,1.2633983913583107
59,2007-10-30,13792.47,1.2451592844005375
60,2007-10-31,13930.01,1.2840366912609626
61,2007-11-01,13567.87,1.2564433681305902
62,2007-11-02,13595.1,1.2591781030260578
63,2007-11-05,13543.4,1.2419071118957734
64,2007-11-06,13660.94,1.2679504555803411
65,2007-11-07,13300.02,1.2403733756870055
66,2007-11-08,13266.29,1.2445718063125304
67,2007-11-09,13042.74,1.1996697284047573
68,2007-11-12,12987.55,1.137166629983734
69,2007-11-13,13307.09,1.1888094956559156
70,2007-11-14,13231.01,1.189892521227311
71,2007-11-15,13110.05,1.1764977523741929
72,2007-11-16,13176.79,1.1890486822098052
73,2007-11-19,12958.44,1.1562551285778797
74,2007-11-20,13010.14,1.1585880550070469
75,2007-11-21,12799.04,1.1383070122121903
76,2007-11-23,12980.88,1.1540241831920455
77,2007-11-26,12743.44,1.1342277979808406
78,2007-11-27,12958.44,1.1413503522776804
79,2007-11-28,13289.45,1.1941360408203463
80,2007-11-29,13311.73,1.212029952079237
81,2007-11-30,13371.72,1.2239237982123456
82,2007-12-03,13314.57,1.2137388871804178
83,2007-12-04,13248.73,1.2048296559024871
84,2007-12-05,13444.96,1.2294820295686215
85,2007-12-06,13619.89,1.2501920768630015
86,2007-12-07,13625.58,1.2557523941460123
87,2007-12-10,13727.03,1.2702898726638223
88,2007-12-11,13432.77,1.2352002359007477
89,2007-12-12,13473.9,1.2403077554497748
90,2007-12-13,13517.96,1.239416603894743
91,2007-12-14,13339.85,1.246749506000658
92,2007-12-17,13167.2,1.1964065727070043
93,2007-12-18,13232.47,1.207006838142789
94,2007-12-19,13207.27,1.22033693651033
95,2007-12-20,13245.64,1.2331357479708478
96,2007-12-21,13450.65,1.2537572373453314
97,2007-12-24,13549.33,1.2720099103378406
98,2007-12-26,13551.69,1.2868596629056739
99,2007-12-27,13359.61,1.2699775872553891
100,2007-12-28,13365.87,1.26503048151899
101,2007-12-31,13264.82,1.260423702690457
102,2008-01-02,13043.96,1.2510436111384902
103,2008-01-03,13056.72,1.2520780617440543
104,2008-01-04,12800.18,1.2051561863100981
105,2008-01-07,12827.49,1.1842824899695887
106,2008-01-08,12589.07,1.1647267144642726
107,2008-01-09,12735.31,1.1678076403982744
108,2008-01-10,12853.09,1.178930200728508
109,2008-01-11,12606.3,1.1610639271584178
110,2008-01-14,12778.15,1.1786650649290813
111,2008-01-15,12501.11,1.1308500880828127
112,2008-01-16,12466.16,1.1030700369098105
113,2008-01-17,12159.21,1.065772148989539
114,2008-01-18,12099.3,1.063336784000571
115,2008-01-22,11971.19,1.0462188990097443
116,2008-01-23,12270.17,1.0450346406246611
117,2008-01-24,12378.61,1.0742295114603857
118,2008-01-25,12207.17,1.0609620511493527
119,2008-01-28,12383.89,1.06108687891784
120,2008-01-29,12480.3,1.0567121471587273
121,2008-01-30,12442.83,1.0388169468472994
122,2008-01-31,12650.36,1.0634990565998048
123,2008-02-01,12743.19,1.0885273132439948
124,2008-02-04,12635.16,1.089596806870673
125,2008-02-05,12265.13,1.0540578031007564
126,2008-02-06,12200.1,1.026041994712086
127,2008-02-07,12247.0,1.0342084388347657
128,2008-02-08,12182.13,1.040115309304917
129,2008-02-11,12240.01,1.0627936090284287
130,2008-02-12,12373.41,1.067006645739734
131,2008-02-13,12552.24,1.1017658050472223
132,2008-02-14,12376.98,1.0956514265653101
133,2008-02-15,12348.21,1.0812379377200272
134,2008-02-19,12337.22,1.0742735988675103
135,2008-02-20,12427.26,1.0731632968244575
136,2008-02-21,12284.3,1.0573778178029247
137,2008-02-22,12381.02,1.063660266061391
138,2008-02-25,12570.22,1.0785305480255722
139,2008-02-26,12684.92,1.0819725850804411
140,2008-02-27,12694.28,1.079900893697695
141,2008-02-28,12582.18,1.0785503172157749
142,2008-02-29,12266.39,1.0603490724037605
143,2008-03-03,12258.9,1.0564369152403525
144,2008-03-04,12213.8,1.0519109730754952
145,2008-03-05,12254.99,1.0595684953013245
146,2008-03-06,12040.39,1.0357452516368844
147,2008-03-07,11893.69,1.0254552672800412
148,2008-03-10,11740.15,0.9947356774531511
149,2008-03-11,12156.81,1.0402403251294357
150,2008-03-12,12110.24,1.0418888915844824
151,2008-03-13,12145.74,1.0498998409231945
152,2008-03-14,11951.09,1.031421171883373
153,2008-03-17,11972.25,0.9935212296677389
154,2008-03-18,12392.66,1.031074674830381
155,2008-03-19,12099.66,1.002464482908481
156,2008-03-20,12361.32,1.0197706467138852
157,2008-03-24,12548.64,1.0587207475957603
158,2008-03-25,12532.6,1.0721385646616306
159,2008-03-26,12422.86,1.0667721143602675
160,2008-03-27,12302.46,1.0525152166731373
161,2008-03-28,12216.4,1.046498443741288
162,2008-03-31,12262.89,1.0498891878897887
163,2008-04-01,12654.36,1.0928996959923634
164,2008-04-02,12605.83,1.0935414943303066
165,2008-04-03,12626.03,1.1041764467009672
166,2008-04-04,12609.42,1.116273150603403
167,2008-04-07,12612.43,1.1131713209407226
168,2008-04-08,12576.44,1.1168230113036262
169,2008-04-09,12527.26,1.1026416538974757
170,2008-04-10,12581.98,1.1128169407888766
171,2008-04-11,12325.42,1.081563568515028
172,2008-04-14,12302.06,1.0748486016538623
173,2008-04-15,12362.47,1.076654695729708
174,2008-04-16,12619.27,1.1088046519045751
175,2008-04-17,12620.49,1.108333088725296
176,2008-04-18,12849.36,1.131961755093229
177,2008-04-21,12825.02,1.1395062964465192
178,2008-04-22,12720.23,1.1222891933399766
179,2008-04-23,12763.22,1.1349728248802569
180,2008-04-24,12848.95,1.138211825631925
181,2008-04-25,12891.86,1.1529939795889854
182,2008-04-28,12871.75,1.159340620506634
183,2008-04-29,12831.94,1.1568665778827354
184,2008-04-30,12820.13,1.1591524236803687
185,2008-05-01,13010.0,1.1746464419685423
186,2008-05-02,13058.2,1.1759382501400537
187,2008-05-05,12969.54,1.1836214730341816
188,2008-05-06,13020.83,1.1965046114234799
189,2008-05-07,12814.35,1.170076018481614
190,2008-05-08,12866.78,1.1850407664030898
191,2008-05-09,12745.88,1.1903573770964808
192,2008-05-12,12876.31,1.2025953916379797
193,2008-05-13,12832.18,1.218483320763248
194,2008-05-14,12898.38,1.2265080536379684
195,2008-05-15,12992.66,1.2402417077845904
196,2008-05-16,12986.8,1.2480557195016428
197,2008-05-19,13028.16,1.238877348974544
198,2008-05-20,12828.68,1.2391757037498459
199,2008-05-21,12601.19,1.209662652981898
200,2008-05-22,12625.62,1.1973037166064229
201,2008-05-23,12479.63,1.18796296784735
202,2008-05-27,12548.35,1.209481980671567
203,2008-05-28,12594.03,1.2284945387796884
204,2008-05-29,12646.22,1.2282415459185152
205,2008-05-30,12638.32,1.2365623966319201
206,2008-06-02,12503.82,1.2209665492814767
207,2008-06-03,12402.85,1.2140912551588845
208,2008-06-04,12390.48,1.2079012099469904
209,2008-06-05,12604.45,1.2335863994118141
210,2008-06-06,12209.81,1.2037574488934344
211,2008-06-09,12280.32,1.1869407610212344
212,2008-06-10,12289.76,1.1697470893963076
213,2008-06-11,12083.77,1.1508394354009555
214,2008-06-12,12141.58,1.1505521760346475
215,2008-06-13,12307.35,1.175845994580121
216,2008-06-16,12269.08,1.1896166856155967
217,2008-06-17,12160.3,1.1944006446565385
218,2008-06-18,12029.06,1.1890813872876187
219,2008-06-19,12063.09,1.2000912916308621
220,2008-06-20,11842.69,1.172909102641075
221,2008-06-23,11842.36,1.1655072735933991
222,2008-06-24,11807.43,1.143918990586422
223,2008-06-25,11811.83,1.1541453165781825
224,2008-06-26,11453.42,1.1210596649093867
225,2008-06-27,11346.51,1.1248826462530137
226,2008-06-30,11350.01,1.1254165512126184
227,2008-07-01,11382.26,1.129984526849252
228,2008-07-02,11215.51,1.1017015823952105
229,2008-07-03,11288.54,1.0969393905305858
230,2008-07-07,11231.96,1.086601334417787
231,2008-07-08,11384.21,1.0958107488214146
232,2008-07-09,11147.44,1.0749205944422364
233,2008-07-10,11229.02,1.09368053591579
234,2008-07-11,11100.54,1.087023435450747
235,2008-07-14,11055.19,1.0840206478073324
236,2008-07-15,10962.54,1.0763049502879127
237,2008-07-16,11239.28,1.1005491781280468
238,2008-07-17,11446.66,1.1056007640821164
239,2008-07-18,11496.57,1.10056128304887
240,2008-07-21,11467.34,1.1025358240403298
241,2008-07-22,11602.5,1.1025168252715905
242,2008-07-23,11632.38,1.100354900197016
243,2008-07-24,11349.28,1.0798921792454361
244,2008-07-25,11370.69,1.093564100183341
245,2008-07-28,11131.08,1.0726211720492536
246,2008-07-29,11397.56,1.0874778591268484
247,2008-07-30,11583.69,1.099444034740781
248,2008-07-31,11378.02,1.094172789857378
249,2008-08-01,11326.32,1.0825315727600622
250,2008-08-04,11284.15,1.0563086666394972
251,2008-08-05,11615.77,1.0770427039653676
252,2008-08-06,11656.07,1.0906833067054915
253,2008-08-07,11431.43,1.0700703760652768
254,2008-08-08,11734.32,1.0828283189517076
255,2008-08-11,11782.35,1.088139467192687
256,2008-08-12,11642.47,1.0805632791389255
257,2008-08-13,11532.96,1.0871108250860253
258,2008-08-14,11615.93,1.0904246959150776
259,2008-08-15,11659.9,1.0912025658300208
260,2008-08-18,11479.39,1.074455265654313
261,2008-08-19,11348.55,1.0689643528959039
262,2008-08-20,11417.43,1.0827830407321948
263,2008-08-21,11430.21,1.073017038726157
264,2008-08-22,11628.06,1.080050992330286
265,2008-08-25,11386.25,1.0629906953736434
266,2008-08-26,11412.87,1.0613947211211183
267,2008-08-27,11502.51,1.072883172983001
268,2008-08-28,11715.18,1.0876095926805904
269,2008-08-29,11543.55,1.0793011300451933
270,2008-09-02,11516.92,1.0666937564629384
271,2008-09-03,11532.88,1.0491294446129986
272,2008-09-04,11188.23,1.0127348630750657
273,2008-09-05,11220.96,1.014325020074481
274,2008-09-08,11510.74,1.0155860964950552
275,2008-09-09,11230.73,0.9632449862174395
276,2008-09-10,11268.92,0.9831606749773538
277,2008-09-11,11433.71,0.9908569048453661
278,2008-09-12,11421.99,0.9992632359962016
279,2008-09-15,10917.51,0.9446115303730396
280,2008-09-16,11059.02,0.9478458512675999
281,2008-09-17,10609.66,0.8993757152358003
282,2008-09-18,11019.69,0.9355253608958939
283,2008-09-19,11388.44,0.9862758672970723
284,2008-09-22,11015.69,0.9457775234538526
285,2008-09-23,10854.17,0.9250255851648733
286,2008-09-24,10825.17,0.9281112538571638
287,2008-09-25,11022.06,0.9389163649113527
288,2008-09-26,11143.13,0.9218514549815485
289,2008-09-29,10365.45,0.8378565083459222
290,2008-09-30,10850.66,0.8751558007362217
291,2008-10-01,10831.07,0.8681405936778926
292,2008-10-02,10482.85,0.8100412336141586
293,2008-10-03,10325.38,0.791905501088956
294,2008-10-06,9955.5,0.7566404445901487
295,2008-10-07,9447.11,0.711941951175044
296,2008-10-08,9258.1,0.7098694064076766
297,2008-10-09,8579.19,0.6678992115591434
298,2008-10-10,8451.19,0.6598688868614432
299,2008-10-13,9387.61,0.7472034178568416
300,2008-10-14,9310.99,0.7250625153671448
301,2008-10-15,8577.91,0.6490739879420095
302,2008-10-16,8979.26,0.6730861103024403
303,2008-10-17,8852.22,0.677291309647261
304,2008-10-20,9265.43,0.7034965531733189
305,2008-10-21,9033.66,0.6821508021346494
306,2008-10-22,8519.21,0.6438905543632967
307,2008-10-23,8691.25,0.6187036573857825
308,2008-10-24,8378.95,0.5949844451274643
309,2008-10-27,8175.77,0.5697436640172815
310,2008-10-28,9065.12,0.6204074844124268
311,2008-10-29,8990.96,0.640123968762854
312,2008-10-30,9180.69,0.6707001610970914
313,2008-10-31,9325.01,0.6820704297451932
314,2008-11-03,9319.83,0.6844671801446095
315,2008-11-04,9625.28,0.7155608757907588
316,2008-11-05,9139.27,0.6712155990610578
317,2008-11-06,8695.79,0.6348307024836912
318,2008-11-07,8943.81,0.649021998798632
319,2008-11-10,8870.54,0.6344685660099803
320,2008-11-11,8693.96,0.6115311454245883
321,2008-11-12,8282.66,0.5701424388095684
322,2008-11-13,8835.25,0.6123195931896779
323,2008-11-14,8497.31,0.5841099145276393
324,2008-11-17,8273.58,0.5636613407962123
325,2008-11-18,8424.75,0.5605529367567099
326,2008-11-19,7997.28,0.517234731443942
327,2008-11-20,7552.29,0.47864218684438115
328,2008-11-21,8046.42,0.49463176838788814
329,2008-11-24,8443.39,0.5269937517780692
330,2008-11-25,8479.47,0.5343122297683703
331,2008-11-26,8726.61,0.5570455947636517
332,2008-11-28,8829.04,0.5630512783040424
333,2008-12-01,8149.09,0.5105714812461725
334,2008-12-02,8419.09,0.5291203466078241
335,2008-12-03,8591.69,0.5506523060385123
336,2008-12-04,8376.24,0.5343170576180055
337,2008-12-05,8635.42,0.5569372276018972
338,2008-12-08,8934.18,0.5800077427889171
339,2008-12-09,8691.33,0.5705397640168781
340,2008-12-10,8761.42,0.5816688021757108
341,2008-12-11,8565.09,0.566774118631087
342,2008-12-12,8629.68,0.5729355760217605
343,2008-12-15,8564.53,0.559456132958033
344,2008-12-16,8924.14,0.5893336243045577
345,2008-12-17,8824.34,0.6004925815353875
346,2008-12-18,8604.99,0.5870694955490473
347,2008-12-19,8579.11,0.5907192705948445
348,2008-12-22,8519.77,0.571006673584802
349,2008-12-23,8419.49,0.5674905479940262
350,2008-12-24,8468.48,0.5658768367454806
351,2008-12-26,8515.55,0.571438630046178
352,2008-12-29,8483.93,0.5636187297798287
353,2008-12-30,8668.39,0.5815399981314223
354,2008-12-31,8776.39,0.5913811146859832
355,2009-01-02,9034.69,0.6161863969501488
356,2009-01-05,8952.89,0.6272601094199094
357,2009-01-06,9015.1,0.6386822111870593
358,2009-01-07,8769.7,0.6140386661366768
359,2009-01-08,8742.46,0.6216070051692592
